inventory_id,product_id,warehouse_id,stock_level,last_updated
0.0,4760.0,316.0,1102.0,2022-08-30
1.0,,310.0,2039.0,2025-09-02
2.0,3179.0,343.0,2527.0,2025-07-29
3.0,3177.0,314.0,4865.0,2023-04-01
4.0,,352.0,2813.0,2023-11-06
,2116.0,358.0,1627.0,2021-12-06
6.0,5149.0,348.0,3790.0,2025-05-16
7.0,4093.0,,3112.0,2025-03-20
8.0,,380.0,3876.0,2023-10-13
9.0,,,952.0,2022-01-23
10.0,2056.0,316.0,658.0,2023-05-29
,4289.0,314.0,3499.0,2022-07-20
12.0,2900.0,394.0,4577.0,2025-04-11
13.0,,392.0,969.0,2022-07-13
14.0,4844.0,300.0,416.0,2023-12-10
15.0,5564.0,378.0,,2022-12-25
16.0,,359.0,2354.0,2021-09-02
17.0,3808.0,380.0,286.0,2022-12-08
18.0,3113.0,,3105.0,2023-06-11
19.0,5100.0,309.0,4498.0,2024-08-21
20.0,5995.0,386.0,2725.0,2024-02-14
21.0,6279.0,350.0,4719.0,
22.0,3651.0,301.0,3781.0,2022-08-14
23.0,3365.0,341.0,3878.0,2025-08-03
24.0,3552.0,,1105.0,2023-12-12
25.0,,326.0,4180.0,2021-07-07
26.0,2707.0,300.0,3702.0,2022-02-04
27.0,6999.0,370.0,792.0,2022-08-02
28.0,4479.0,329.0,1707.0,2025-10-09
29.0,6754.0,345.0,3573.0,2025-11-28
,3134.0,343.0,4517.0,2024-07-01
31.0,,369.0,3418.0,2025-01-11
32.0,2818.0,,2794.0,2022-03-13
33.0,2934.0,,4880.0,2021-01-20
34.0,3103.0,,203.0,2024-12-31
35.0,6929.0,312.0,302.0,2023-09-07
36.0,5414.0,304.0,3066.0,2024-03-24
37.0,2439.0,337.0,354.0,
38.0,3503.0,358.0,1712.0,2024-04-04
39.0,2672.0,355.0,3928.0,2024-03-27
40.0,6425.0,391.0,2481.0,2021-07-22
41.0,6418.0,315.0,1156.0,2024-12-20
42.0,,365.0,3283.0,2021-02-17
43.0,5442.0,320.0,3743.0,2025-03-20
44.0,6513.0,321.0,,2022-05-22
45.0,3275.0,315.0,3021.0,2022-04-23
46.0,2022.0,,2862.0,
,4650.0,320.0,3066.0,
48.0,4043.0,344.0,2857.0,2024-09-24
49.0,4647.0,386.0,4171.0,2025-01-23
50.0,4695.0,328.0,372.0,2024-11-12
51.0,2767.0,356.0,3142.0,2025-11-30
52.0,3945.0,394.0,3969.0,2023-08-15
53.0,6228.0,349.0,465.0,2025-11-15
54.0,3763.0,336.0,4167.0,2025-02-16
55.0,3956.0,325.0,4441.0,
56.0,2059.0,382.0,3976.0,
57.0,,333.0,,2022-02-16
58.0,,330.0,3976.0,
59.0,6999.0,339.0,4456.0,2021-07-17
60.0,3871.0,392.0,3748.0,2023-06-30
61.0,,,2237.0,2022-08-04
62.0,4930.0,360.0,3718.0,
,6398.0,327.0,2590.0,2023-06-16
64.0,2248.0,,2137.0,2021-07-18
65.0,,356.0,903.0,2024-10-17
66.0,2114.0,375.0,4860.0,2021-11-10
67.0,5455.0,381.0,867.0,2023-12-16
68.0,2739.0,345.0,3042.0,2025-05-13
69.0,6352.0,336.0,1042.0,2021-12-20
70.0,5785.0,310.0,2710.0,2025-11-10
