return_id,order_id,return_reason,refund_amount
0.0,92346.0,Late ,1021.82
1.0,79004.0,Damaged,
2.0,79729.0,wrong item,1476.92
3.0,63760.0,LATE,1653.06
4.0,78890.0, damaged,209.71
5.0,58931.0, damaged,728.61
6.0,90225.0,Wrong Item ,63.95
7.0,73539.0,DAMAGED,
8.0,86037.0,LATE,
9.0,89467.0,Late ,159.2
10.0,50082.0,wrong item,469.46
11.0,80601.0,Late ,
12.0,79811.0,LATE ,-88.16
13.0,83393.0, damaged,133.89
14.0,94428.0,LATE,925.37
15.0,51218.0,late ,1380.84
16.0,51182.0, damaged,1459.67
17.0,, Wrong Item,1275.8
18.0,62681.0,WRONG ITEM,514.55
19.0,,Damaged,1784.45
20.0,75675.0,late ,1910.2
,95634.0,Wrong Item,1294.47
22.0,,Damaged,1237.79
23.0,76062.0, Damaged,
24.0,90462.0, Wrong Item,
25.0,,LATE,1558.17
26.0,98385.0,Wrong Item ,
27.0,76508.0,Late ,1954.85
28.0,72747.0,Damaged ,
29.0,,Late ,838.04
,87277.0,Damaged,1512.58
31.0,88034.0,LATE ,1079.5
32.0,78114.0,,7.21
33.0,91550.0,Damaged,805.26
34.0,83936.0,Late ,1631.05
35.0,,late,
36.0,64972.0,,437.82
,90874.0,late ,786.25
38.0,87729.0,,657.48
39.0,68500.0,wrong item,576.91
40.0,95795.0,damaged ,732.91
41.0,88221.0,Late ,1186.42
42.0,,Wrong Item,995.0
43.0,63748.0,Damaged ,423.73
44.0,80502.0,Late ,-19.33
45.0,,Damaged ,
,71220.0,Damaged,-36.42
47.0,,Damaged,374.19
48.0,58967.0, damaged,1691.79
49.0,60668.0,Late ,-22.22
50.0,90608.0,LATE,194.35
51.0,,Wrong Item ,466.84
52.0,60464.0, damaged,
,87695.0, LATE ,377.09
,54808.0,Damaged,623.49
55.0,90060.0,damaged ,612.68
56.0,,Wrong Item ,1522.78
57.0,52956.0, Damaged,1028.93
58.0,58336.0,Wrong Item,333.33
59.0,98497.0, Late,1358.55
60.0,80915.0,DAMAGED,1560.29
61.0,93720.0,Late ,1101.43
,59970.0, damaged,
63.0,,Damaged,864.69
64.0,89676.0, LATE ,
65.0,,,420.19
66.0,,damaged,795.44
67.0,73426.0,Late,304.88
,63697.0, Damaged,93.53
69.0,,Damaged ,1782.51
70.0,66630.0,Late,
71.0,,damaged,1896.56
72.0,50733.0,LATE,-5.61
73.0,63300.0,,1757.68
74.0,90071.0,Damaged ,478.41
75.0,73307.0,damaged,1032.45
76.0,,wrong item,1438.5
77.0,,WRONG ITEM,1134.48
78.0,72021.0,Damaged,1416.29
79.0,81222.0, Wrong Item,1632.87
80.0,67841.0, Wrong Item,808.43
,93076.0,LATE,1872.03
82.0,77708.0,DAMAGED,1257.99
83.0,,damaged,1251.62
84.0,57105.0,DAMAGED,1793.73
85.0,64200.0,Damaged,1829.63
86.0,50447.0,,37.99
87.0,54628.0,Late ,780.89
88.0,54368.0,,591.72
,64821.0,late,167.64
90.0,59271.0,LATE ,737.19
,72382.0,,1272.02
92.0,50380.0, damaged,-46.88
93.0,95360.0,Late ,1329.58
,72189.0, Late,95.94
,96923.0,late,64.29
96.0,82273.0,,625.26
,91974.0,damaged,1515.86
98.0,87245.0,Damaged ,1539.63
99.0,61810.0,LATE,1563.28
,98883.0,Wrong Item,
101.0,61254.0,LATE ,595.79
102.0,77057.0,Late ,44.29
103.0,72835.0,,359.83
104.0,72985.0,WRONG ITEM,5.12
105.0,,,1799.94
106.0,, LATE ,283.07
107.0,81338.0,Late ,619.02
108.0,,WRONG ITEM,-8.03
109.0,85496.0,damaged,-67.26
110.0,73796.0,WRONG ITEM,221.81
111.0,99764.0,,-17.49
112.0,78673.0,LATE,1761.33
113.0,, damaged,1456.17
114.0,97092.0,damaged,1389.1
115.0,,Damaged ,-87.44
116.0,,Damaged,1429.37
117.0,80871.0,DAMAGED,1892.06
118.0,,Damaged,1701.48
119.0,75139.0,,1131.12
120.0,,wrong item,
121.0,, damaged,1800.42
,,WRONG ITEM,-20.82
123.0,85553.0,Wrong Item,11.09
124.0,86744.0,Damaged,416.57
125.0,99422.0,,350.29
126.0,,WRONG ITEM,18.85
127.0,,Late,737.45
128.0,52281.0,,1331.01
129.0,77663.0,,566.28
130.0,83836.0,Late,1560.76
131.0,79419.0, Wrong Item,544.32
132.0,61790.0,,178.24
133.0,61875.0,Late ,388.17
134.0,,wrong item,482.45
135.0,76146.0, Wrong Item,1518.14
,89570.0, damaged,-10.64
137.0,84516.0,,1614.92
138.0,74876.0,damaged ,1972.89
139.0,93757.0,WRONG ITEM,550.75
140.0,62007.0,DAMAGED,736.89
141.0,66538.0,Wrong Item ,1646.84
142.0,96042.0, damaged,1647.2
143.0,,Late ,768.44
144.0,98942.0,DAMAGED,1213.0
145.0,58828.0,Late ,1713.05
,,wrong item,1118.29
147.0,84888.0,Damaged,239.84
148.0,83513.0,Wrong Item ,1184.2
149.0,76756.0,,-67.52
150.0,83525.0, Damaged,-69.59
151.0,60701.0,Wrong Item,793.79
152.0,75313.0,DAMAGED,528.31
153.0,77939.0,,30.0
154.0,,,
155.0,77768.0, Damaged,593.72
156.0,88151.0,,517.84
157.0,69210.0, Wrong Item,1021.29
158.0,52787.0,late ,1408.79
159.0,,wrong item,370.8
,53895.0,damaged ,1868.83
161.0,71657.0,Wrong Item ,1306.29
,70141.0,DAMAGED,940.9
163.0,74583.0,late,-29.65
164.0,86949.0,,1437.09
165.0,78354.0,late,1922.25
166.0,53745.0,WRONG ITEM,317.01
167.0,68309.0, LATE ,1778.4
168.0,,damaged,1994.8
169.0,60746.0, Damaged,1697.82
170.0,71129.0,LATE  ,890.75
171.0,65687.0,Damaged ,1047.97
172.0,95711.0,wrong item,1133.51
173.0,93764.0,Damaged ,1018.26
174.0,77699.0,,
175.0,88292.0,wrong item,0.74
176.0,63179.0,late ,
177.0,72332.0,Late,
178.0,90641.0,wrong item,353.69
179.0,,wrong item,-98.95
180.0,72793.0,WRONG ITEM,
181.0,98874.0,Late ,271.9
182.0,69724.0,Late ,1577.33
183.0,73782.0,Wrong Item,
184.0,54264.0,Late ,629.64
185.0,,late ,1894.15
,,wrong item,1995.2
187.0,74703.0,LATE,24.7
188.0,61708.0,Damaged ,1140.08
189.0,,Late ,28.67
190.0,62450.0,damaged ,980.99
191.0,75128.0,Late ,324.01
192.0,66569.0,WRONG ITEM,1137.72
,88399.0,LATE  ,1481.44
194.0,,DAMAGED,1267.22
195.0,80398.0,wrong item,1539.92
196.0,,Late,1494.34
197.0,92916.0,,1133.21
198.0,96525.0,,1458.49
199.0,99514.0, Damaged,1853.44
200.0,82840.0,LATE ,69.06
201.0,63969.0,Late ,517.14
202.0,,Wrong Item,342.35
203.0,94251.0,Damaged,1509.22
204.0,95246.0,wrong item,
,,Damaged,433.71
206.0,61534.0,,768.91
207.0,99277.0,Damaged ,1824.74
208.0,67193.0,Damaged ,373.64
209.0,68323.0,Wrong Item,972.94
210.0,82009.0,Late ,394.24
211.0,71810.0,damaged,-43.34
,,LATE,443.33
213.0,, LATE ,662.22
214.0,79090.0,LATE ,
215.0,97504.0,damaged,
,, damaged,269.05
217.0,,,1277.82
218.0,55560.0,LATE ,883.46
219.0,76942.0,Damaged,1216.81
220.0,79955.0,DAMAGED,193.23
221.0,,Late,1676.9
222.0,79747.0,Late,1673.2
223.0,51561.0,damaged ,
224.0,59338.0, LATE ,759.29
225.0,96086.0,DAMAGED,1289.63
,, damaged,322.34
227.0,85495.0,WRONG ITEM,
228.0,57532.0,Damaged ,1659.6
229.0,60702.0,late ,
230.0,54760.0,damaged,399.04
231.0,88328.0,late,648.3
232.0,89049.0,Damaged ,356.06
233.0,81663.0,LATE ,915.7
234.0,,late ,741.86
235.0,86338.0,WRONG ITEM,732.15
236.0,77117.0,LATE  ,144.41
