shipment_id,order_id,shipment_date,delivery_date,shipping_cost
200000.0,61178.0,2021-03-04,2025-03-10,4605.11
200001.0,82238.0,2023-11-05,2024-11-10,1906.66
200002.0,50237.0,2022-01-05,2023-07-22,2281.91
200003.0,90816.0,2021-10-20,2025-09-01,4192.08
200004.0,72124.0,2024-08-07,2024-11-03,3872.8
200005.0,52501.0,2023-06-18,2023-06-04,1732.19
,65617.0,2022-11-01,,2671.37
200007.0,,2024-01-15,,3421.45
200008.0,61509.0,2025-06-14,2022-08-25,4460.71
200009.0,55171.0,2023-01-28,2023-08-21,751.18
200010.0,55892.0,2022-01-02,2025-06-12,675.77
200011.0,,2021-02-18,2021-06-16,1519.76
200012.0,61170.0,,2023-06-14,
200013.0,,,2024-05-13,2433.09
200014.0,57857.0,2022-08-31,2025-02-16,4300.93
200015.0,99907.0,2024-08-19,2023-10-28,2048.77
200016.0,74512.0,2023-01-31,2025-10-15,4673.87
200017.0,,2024-03-29,2023-12-12,1529.74
200018.0,92536.0,2024-07-22,2023-06-12,
200019.0,66866.0,,2024-01-27,
200020.0,93194.0,2023-12-04,2025-06-28,4146.08
200021.0,59618.0,,2022-11-17,3160.62
200022.0,93655.0,,2021-06-02,399.28
200023.0,56140.0,,2025-05-29,
200024.0,,2022-03-03,2024-05-02,34.21
200025.0,56933.0,2022-03-31,2024-09-28,1611.86
200026.0,,2021-11-22,2024-10-12,4323.4
200027.0,89082.0,2024-05-29,2024-08-22,1327.22
200028.0,95039.0,2025-11-26,2022-10-12,2976.27
200029.0,84594.0,2024-02-11,2025-09-20,11.39
,64385.0,2025-02-03,2024-04-04,4539.39
200031.0,75733.0,2021-04-15,2023-05-30,4475.81
200032.0,82374.0,2022-11-16,2023-09-23,1739.26
200033.0,63213.0,2022-07-14,2022-03-08,2647.61
200034.0,75720.0,2021-09-26,,3465.04
200035.0,90012.0,2021-01-17,2025-11-15,88.21
200036.0,86700.0,2023-02-27,2025-09-28,36.74
200037.0,98640.0,2023-08-10,2021-10-15,3096.46
,65907.0,2023-08-07,2022-03-16,3828.19
200039.0,83382.0,2022-11-25,,
,61894.0,2024-02-16,2022-07-09,1891.09
200041.0,50684.0,,2023-12-24,-90.02
200042.0,59379.0,2025-05-14,2024-06-18,2863.48
200043.0,52946.0,2023-04-16,,439.54
200044.0,93061.0,2024-12-08,2023-07-03,1743.28
200045.0,,,2022-08-02,4025.38
200046.0,77375.0,2022-01-22,2022-04-13,228.1
200047.0,77723.0,2024-10-24,2021-09-03,2912.03
200048.0,58350.0,2021-04-17,2021-09-21,4624.22
200049.0,89409.0,2025-10-09,,
200050.0,,2021-02-19,2023-12-25,1405.06
200051.0,,2022-06-15,2023-10-24,4434.23
200052.0,75709.0,2025-02-12,2025-06-28,247.85
200053.0,,2021-03-21,2025-12-09,2420.71
200054.0,,2025-12-19,2022-11-14,4473.96
,96494.0,2022-03-02,2022-08-15,1599.03
200056.0,83808.0,2024-06-12,2022-02-21,704.07
200057.0,98056.0,2022-07-12,2021-08-03,3202.55
200058.0,76190.0,2022-09-25,,1309.8
200059.0,57609.0,2025-10-28,2025-10-21,4477.25
200060.0,51949.0,2025-03-01,2021-06-16,
,65332.0,2022-01-31,2022-07-27,1419.32
200062.0,55343.0,2025-05-27,2024-03-16,195.67
200063.0,50650.0,2022-03-02,2022-12-18,957.39
200064.0,57386.0,2025-01-16,2021-12-18,79.57
200065.0,69942.0,2022-02-22,2022-08-05,-170.93
200066.0,83445.0,2022-12-11,2021-08-26,3223.37
,87884.0,2025-01-22,2023-01-19,4940.98
200068.0,99968.0,2025-02-06,2022-11-02,
,79678.0,2023-04-08,2024-10-20,1101.39
200070.0,61511.0,2021-05-17,2025-12-20,4244.05
200071.0,88667.0,2023-05-13,2024-02-11,4504.43
200072.0,77959.0,2024-06-29,2021-03-20,
200073.0,,2023-08-09,,423.33
200074.0,,2025-09-05,2022-03-13,4580.41
200075.0,,2023-08-05,2022-11-04,
200076.0,77717.0,2024-08-21,2021-12-12,-57.48
200077.0,54909.0,2025-06-27,2022-01-19,559.21
200078.0,57757.0,2021-08-26,2021-06-22,
200079.0,68548.0,2025-07-17,2021-03-27,-50.14
200080.0,94701.0,2022-05-25,2025-11-14,4080.5
200081.0,56162.0,2022-11-21,2021-04-27,4196.86
200082.0,66417.0,2023-11-21,2025-06-08,
200083.0,,2023-05-09,2023-03-23,1123.76
200084.0,,2022-06-19,2021-07-19,4722.72
200085.0,97622.0,2024-01-30,2023-07-02,119.88
200086.0,78901.0,2022-03-20,,1051.05
200087.0,,2025-08-19,2021-12-18,3463.0
200088.0,74310.0,2024-06-13,2022-04-13,2450.18
200089.0,66800.0,2025-08-06,2024-03-19,4215.74
200090.0,77545.0,2023-10-06,2021-10-25,-48.9
200091.0,76974.0,2023-12-23,2025-11-13,
200092.0,,2025-11-05,2023-02-04,1251.31
200093.0,66952.0,2022-03-13,2023-07-16,1920.67
200094.0,58520.0,2024-03-01,2022-11-25,111.81
,,2022-06-07,2025-04-12,-182.93
200096.0,59048.0,2021-12-01,2025-06-12,1663.96
,68646.0,2024-07-23,2021-06-20,1368.46
200098.0,93229.0,2022-12-06,2022-10-25,2576.68
200099.0,58809.0,2024-04-22,2022-07-17,1017.64
200100.0,96000.0,2025-03-02,,2696.85
,52832.0,2025-05-18,2024-05-30,363.88
200102.0,69613.0,2025-07-12,2024-03-14,4597.01
200103.0,57309.0,2022-11-06,2022-06-01,969.64
200104.0,89340.0,2022-10-06,,4297.46
200105.0,51908.0,2022-10-01,,
200106.0,66284.0,2022-06-30,2025-12-29,4718.95
200107.0,84508.0,2025-03-19,2024-03-06,4688.78
200108.0,68830.0,,2021-03-21,3925.59
200109.0,60186.0,,,1461.79
200110.0,58195.0,2024-12-30,2024-01-04,4874.95
200111.0,72210.0,2021-10-20,2021-12-20,3165.78
